record_id,source,protein_id,pdb_id,chain_id,sequence_sha256,sequence_length,joint_homology_group,canonical_dataset_role,experimental_cv_fold,label_availability
MD__2lis_A,md_ired,2lis_A,2lis,A,930837192e13cf6ca6a4b4f016339c8bfd32bcb609a7d18457a9e20c8846a184,136,JHG30_04ba0078f173,weak_train,-1,included_in_development_residue_labels
MD__2nlv_B,md_ired,2nlv_B,2nlv,B,13131d79261f04d8137082e2a7cfc7310bacd2f6225ba7dacc2db544727b4ac3,112,JHG30_5b6f115ac2ca,weak_train,-1,included_in_development_residue_labels
MD__2nml_A,md_ired,2nml_A,2nml,A,a152f86cd23fb3bc70b244caf93195fce22d5b27ff0d5da3c8ff75211cfaa941,104,JHG30_fa38fa131d0d,weak_validation,-1,included_in_development_residue_labels
MD__2nqw_A,md_ired,2nqw_A,2nqw,A,a340012c339a8a154ae6a6a3fc0222b8262db5e72c84c0e74edd7a59eae38e68,93,JHG30_78766d7b3dac,weak_train,-1,included_in_development_residue_labels
MD__2nsa_A,md_ired,2nsa_A,2nsa,A,f4cf7e42370535ab150cee35847df89cc9a423e5525ae788b68f0e8772f8a73c,170,JHG30_78729c272eb1,weak_train,-1,included_in_development_residue_labels
MD__2nug_B,md_ired,2nug_B,2nug,B,de190e8a858486a57faef2788fa00e424404e8a5f9a13eb3239672a871be9a7f,221,JHG30_e1ca10da6fdc,weak_validation,-1,included_in_development_residue_labels
MD__2nuk_A,md_ired,2nuk_A,2nuk,A,f9c824dffd4af0314eb1c386ac1a6be025dc2dac9cd772e12be3c6f04bfcb3c5,141,JHG30_566950795d0f,weak_train,-1,included_in_development_residue_labels
MD__2nwv_A,md_ired,2nwv_A,2nwv,A,e1b18c16d31137276f456f4e04d9f40765209d67099140c1869baddfca792173,114,JHG30_5b6f115ac2ca,weak_train,-1,included_in_development_residue_labels
MD__2o4t_A,md_ired,2o4t_A,2o4t,A,0149a8f3e5fd682b8aeaf7541f47c7d77c27b38ab01898550850db69ef04724c,100,JHG30_7b9a4b88387e,weak_train,-1,included_in_development_residue_labels
MD__2o6x_A,md_ired,2o6x_A,2o6x,A,65c0af0cd5b12be478d44a2beaf69dbe6ea6201178d13d12621b5a0d39abbbdc,310,JHG30_c64f08fe8156,weak_train,-1,included_in_development_residue_labels
MD__2o70_F,md_ired,2o70_F,2o70,F,1e1c55a60876ad1ed6fdfbf84c6fef4a462f354760934822fc212f9a22e76940,174,JHG30_7a5013c3676f,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__2o74_F,md_ired,2o74_F,2o74,F,1e1c55a60876ad1ed6fdfbf84c6fef4a462f354760934822fc212f9a22e76940,174,JHG30_7a5013c3676f,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__2o7o_A,md_ired,2o7o_A,2o7o,A,67d06a3373e32bd4b1f7be530788574386833514a570a0cf981ec833d4fce745,207,JHG30_0e75d8ef1f98,weak_train,-1,included_in_development_residue_labels
MD__2oeb_A,md_ired,2oeb_A,2oeb,A,5d81fbc8b5f8202a74bccbdfdc054ce1b97bbeb27401d46e6e7540d9b151804d,155,JHG30_c5bfdc2d3307,weak_train,-1,included_in_development_residue_labels
MD__2ofz_A,md_ired,2ofz_A,2ofz,A,3e07fec25cc6d9e5279733dd00414e798fd699cbac0b3ac5d8a7bd39390d0f6d,138,JHG30_c85aca702c4d,weak_validation,-1,included_in_development_residue_labels
MD__2ogb_B,md_ired,2ogb_B,2ogb,B,4271d20662f34cffaad8f1c7097e8a4d47e2c76398a5bdb2c512c502d823547a,126,JHG30_7dff311c1250,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__2onf_B,md_ired,2onf_B,2onf,B,562d8f07768a31db5cb2b5dfa7a8bfac827a82ef7efbb3ed68c82c4c568c88ce,140,JHG30_450485b85eca,weak_train,-1,included_in_development_residue_labels
MD__2op6_A,md_ired,2op6_A,2op6,A,f05b35db141e47e056fb2839eaab5bbfcb686a6cb91c89ed0612bed3e765039b,152,JHG30_f94e4ed02a45,weak_train,-1,included_in_development_residue_labels
MD__2oqz_A,md_ired,2oqz_A,2oqz,A,12aab85cfbcf251bd119143790725b6a2375951506e550c83cb41d825eb8df99,223,JHG30_c23263dc22d7,weak_train,-1,included_in_development_residue_labels
MD__2osa_A,md_ired,2osa_A,2osa,A,3a1da73d8052b265da6e8731e6b4768df71dca0863f190911466fb8412603aa4,202,JHG30_9e9c9046ef7f,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__2ot9_A,md_ired,2ot9_A,2ot9,A,f0fe5964f9fde43b9d7bd53d8dc1b4baf6b06e49fda2120a91787fcb19f6b8e0,180,JHG30_c760dfc59b0e,weak_train,-1,included_in_development_residue_labels
MD__2ou3_A,md_ired,2ou3_A,2ou3,A,f130f74566b2fc2c2119d96248b8c51861ab5828974d6f99e40e2c730b462d6d,161,JHG30_549875828696,weak_train,-1,included_in_development_residue_labels
MD__2ouw_A,md_ired,2ouw_A,2ouw,A,155848dc5e3304a450d8a1b87e1976d9d20cea615b23c594a7d47942b113f367,138,JHG30_6a065cc79e8a,weak_train,-1,included_in_development_residue_labels
MD__2ov9_B,md_ired,2ov9_B,2ov9,B,6e4f08c969b732841fb24567a41efc7b5c9705c90db5a16a0ad401e7541f3afb,216,JHG30_8db7b5201295,weak_train,-1,included_in_development_residue_labels
MD__2ov9_C,md_ired,2ov9_C,2ov9,C,6e4f08c969b732841fb24567a41efc7b5c9705c90db5a16a0ad401e7541f3afb,216,JHG30_8db7b5201295,weak_train,-1,included_in_development_residue_labels
MD__2ovj_A,md_ired,2ovj_A,2ovj,A,93f5c4738ee2daef966daa2ba3b5bf74e78a4ad3cd7dcaef92f409869dd6b5e1,201,JHG30_9e9c9046ef7f,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__2ox7_B,md_ired,2ox7_B,2ox7,B,6671a12f06f3d6e78a861e272334c4bc37e5d0a62cea2bab2b289084c407f687,155,JHG30_284401b5a88d,weak_train,-1,included_in_development_residue_labels
MD__2oxl_A,md_ired,2oxl_A,2oxl,A,0190a0180195f34e77178257783f00ab2832bcde69533e0184190ce9eb79bf37,64,JHG30_82866d852842,weak_train,-1,included_in_development_residue_labels
MD__2oxl_B,md_ired,2oxl_B,2oxl,B,0190a0180195f34e77178257783f00ab2832bcde69533e0184190ce9eb79bf37,64,JHG30_82866d852842,weak_train,-1,included_in_development_residue_labels
MD__2oxo_A,md_ired,2oxo_A,2oxo,A,b32c1808a39a341bb9d5bed6b5aeb8bf2298564687711d728f6b73137dc41075,103,JHG30_34d59bce6ecf,weak_train,-1,included_in_development_residue_labels
MD__2oy9_A,md_ired,2oy9_A,2oy9,A,3b553b62b57854f3f4563a4ad6f4a2531016f12b0fb4e183f88794937f70309e,98,JHG30_328125e0e790,weak_train,-1,included_in_development_residue_labels
MD__2oy9_B,md_ired,2oy9_B,2oy9,B,3b553b62b57854f3f4563a4ad6f4a2531016f12b0fb4e183f88794937f70309e,98,JHG30_328125e0e790,weak_train,-1,included_in_development_residue_labels
MD__2oya_B,md_ired,2oya_B,2oya,B,357d9dcad2f7a3662389491ccbebcf664843ab90162ef5bba76385b56782e578,102,JHG30_c6a1354722ea,weak_train,-1,included_in_development_residue_labels
MD__2p12_A,md_ired,2p12_A,2p12,A,02ad4e0bc1a8603aabe433ef5eea12f0f4323958a02928e9d87f81202e7a0710,176,JHG30_87cdfc1573ed,weak_train,-1,included_in_development_residue_labels
MD__2p12_B,md_ired,2p12_B,2p12,B,02ad4e0bc1a8603aabe433ef5eea12f0f4323958a02928e9d87f81202e7a0710,176,JHG30_87cdfc1573ed,weak_train,-1,included_in_development_residue_labels
MD__2p2v_A,md_ired,2p2v_A,2p2v,A,e2e1973c01d3032e59bf88ae2e1690584284f4720a2dad2fd2eaf135dfa1a6bb,288,JHG30_f3ab75cc9dd2,weak_train,-1,included_in_development_residue_labels
MD__2p3p_B,md_ired,2p3p_B,2p3p,B,210aa85554ede0b596c3574acf9a9af8baa88276388a24701631b0055e55a566,207,JHG30_a978af3f451c,weak_train,-1,included_in_development_residue_labels
MD__2p54_A,md_ired,2p54_A,2p54,A,80f8f2fa4a42bd6216cb10fdb248ff5487feb6080c28afef0ea43aca1ebb8af1,267,JHG30_42036ea8ee74,weak_train,-1,included_in_development_residue_labels
MD__2p58_A,md_ired,2p58_A,2p58,A,30d0055913a87c5efa8b871c577d7a7f343966b59afda15ffbeea66b733bb02e,65,JHG30_b1c69ec929ec,weak_train,-1,included_in_development_residue_labels
MD__2p6h_B,md_ired,2p6h_B,2p6h,B,2f8640055473309656012af4880eaa8d9b47aaed95e3d3cac9bab9d22b243fbd,134,JHG30_d4ab15484360,weak_train,-1,included_in_development_residue_labels
MD__2p6v_A,md_ired,2p6v_A,2p6v,A,aa6079a9919245cd5bd682c86d1bb91fcd483a4aa96b22e52b2a6a0d154ab2e9,114,JHG30_7fea8364b978,weak_train,-1,included_in_development_residue_labels
MD__2p84_A,md_ired,2p84_A,2p84,A,9d163cec0574816b3d6aa62f8344856c214e45fd1e34b94f85a2d32faea19402,145,JHG30_284401b5a88d,weak_train,-1,included_in_development_residue_labels
MD__2p9x_A,md_ired,2p9x_A,2p9x,A,76c2db5f68eac07e71a042961cbd5c13c860b7c20557ba07f05402e79664b7db,99,JHG30_656ba5c02046,weak_train,-1,included_in_development_residue_labels
MD__2p9x_D,md_ired,2p9x_D,2p9x,D,76c2db5f68eac07e71a042961cbd5c13c860b7c20557ba07f05402e79664b7db,99,JHG30_656ba5c02046,weak_train,-1,included_in_development_residue_labels
MD__2pag_A,md_ired,2pag_A,2pag,A,93372dd8deff4d9dbeb8445c03ce601524b2f7ae6877590c0afb8bd5fe02fbcf,135,JHG30_5afec7706775,weak_train,-1,included_in_development_residue_labels
MD__2pbk_A,md_ired,2pbk_A,2pbk,A,51ded7739bcfee0bea939e6327c57360888c1f5e43034a6e1789a62a3fe55974,228,JHG30_35a874480bde,weak_train,-1,included_in_development_residue_labels
MD__2pbk_B,md_ired,2pbk_B,2pbk,B,51ded7739bcfee0bea939e6327c57360888c1f5e43034a6e1789a62a3fe55974,228,JHG30_35a874480bde,weak_train,-1,included_in_development_residue_labels
MD__2pcn_A,md_ired,2pcn_A,2pcn,A,feb0df15eb90d9e9b4df1b823a20989bbdd3cfddd2b7cdc4632f0a764d0b4539,161,JHG30_33e6e89a7255,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__2pfx_A,md_ired,2pfx_A,2pfx,A,b640e4ff23573a298361dae3935df82d205caae6136eacd0c2bbd9fb49cb0d12,191,JHG30_150e89108ce5,weak_train,-1,included_in_development_residue_labels
MD__2phn_A,md_ired,2phn_A,2phn,A,4d40e7de9150bfb94774630400c142e148d0803e5a14091efba73d21dee23f74,254,JHG30_0c964b4b5d83,weak_train,-1,included_in_development_residue_labels
MD__2phn_B,md_ired,2phn_B,2phn,B,4d40e7de9150bfb94774630400c142e148d0803e5a14091efba73d21dee23f74,254,JHG30_0c964b4b5d83,weak_train,-1,included_in_development_residue_labels
MD__2pmk_A,md_ired,2pmk_A,2pmk,A,bf54195aeb9c474f046897614968861e1a1cb7c67029dff13a3cc40750fd13b1,243,JHG30_611e55df34c2,weak_train,-1,included_in_development_residue_labels
MD__2ppp_A,md_ired,2ppp_A,2ppp,A,9ee7b6abb8a47bbac6e7d8b80d162f111f0484a2a35b11c6075a5fdda691fa8a,107,JHG30_1a3acc828874,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__2pqx_A,md_ired,2pqx_A,2pqx,A,1fbbcfa41ab567612e998e69a25d8b371e84eecb14f72fecf49ff9309a3bb83d,245,JHG30_fee46a9dd19a,weak_train,-1,included_in_development_residue_labels
MD__2prv_A,md_ired,2prv_A,2prv,A,08eabacebdf64ed03aedf53c7d1ef336fe9d3769512b6c0c73115a82b2faf134,153,JHG30_4b9d16c18c64,weak_train,-1,included_in_development_residue_labels
MD__2psp_B,md_ired,2psp_B,2psp,B,0494a1b0a94011b6b5e8932cd179449f3941e783e39f07355e65f92c71691411,106,JHG30_7a3ae2e7f74c,weak_train,-1,included_in_development_residue_labels
MD__2pst_X,md_ired,2pst_X,2pst,X,5c2b64d254c443b56c019074beea2d7ec3f31f8e1e8a81dc3bedf6b7acb3b8c6,74,JHG30_6bb7c9e9d4b8,weak_train,-1,included_in_development_residue_labels
MD__2pu3_A,md_ired,2pu3_A,2pu3,A,92afd934064c291c6a0d014018847be35ce939ea71223729e1f16813886deba9,211,JHG30_5e3fa458a265,weak_train,-1,included_in_development_residue_labels
MD__2pu9_A,md_ired,2pu9_A,2pu9,A,d804549142eaca56954ec2d35cd7e4e3c1210a8076fa13cb685cd83fcd65185b,110,JHG30_06c545d06f8e,weak_train,-1,included_in_development_residue_labels
MD__2puo_A,md_ired,2puo_A,2puo,A,709e5e716a101587e2aa0f79740e14393be6e5173709db3734dc8a150fb5e9c2,109,JHG30_06c545d06f8e,weak_train,-1,included_in_development_residue_labels
MD__2pv4_A,md_ired,2pv4_A,2pv4,A,2ff976870d0fa1d03f5ef4975ca60444bc538770fcdd761d0552cff5694ed866,145,JHG30_896ba84fb539,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__2pw8_I,md_ired,2pw8_I,2pw8,I,d344c4805111b9974d0ad6df8bc36e540824b5d51b2d4e5c3b879b16829ce1e5,65,JHG30_8365a6be306d,weak_train,-1,included_in_development_residue_labels
MD__2pyq_B,md_ired,2pyq_B,2pyq,B,510a432b51ac94114943f1c588cbb070c627432c638becf482c50438a187389b,114,JHG30_e416d2673fa1,weak_train,-1,included_in_development_residue_labels
MD__2pyq_C,md_ired,2pyq_C,2pyq,C,510a432b51ac94114943f1c588cbb070c627432c638becf482c50438a187389b,114,JHG30_e416d2673fa1,weak_train,-1,included_in_development_residue_labels
MD__2q9r_A,md_ired,2q9r_A,2q9r,A,ab623225c73308696e653bf351c599302f451259a34bfe6a4635d1ee596d45ce,200,JHG30_d265546cd477,weak_train,-1,included_in_development_residue_labels
MD__2qdx_A,md_ired,2qdx_A,2qdx,A,22fe9ca1e482338c176a807bfa82f7d021314c7c1c15df4235fba7f00bc0adb1,257,JHG30_cc54a7c261eb,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__2qev_A,md_ired,2qev_A,2qev,A,a1bde92d78d3c489c25ffece9c5a653c4be42ef881c4031e006d05e8c78f768c,145,JHG30_6793ccc657ed,weak_train,-1,included_in_development_residue_labels
MD__2qhq_A,md_ired,2qhq_A,2qhq,A,1f834cf74a6615e7f1d4d7776d27be37dee2dcfeb0229e90ee3dbd124d6f0d65,125,JHG30_1a056d664aff,weak_train,-1,included_in_development_residue_labels
MD__2qhq_B,md_ired,2qhq_B,2qhq,B,1f834cf74a6615e7f1d4d7776d27be37dee2dcfeb0229e90ee3dbd124d6f0d65,125,JHG30_1a056d664aff,weak_train,-1,included_in_development_residue_labels
MD__2qia_A,md_ired,2qia_A,2qia,A,b7a61d92308a19ed6916b1bf1694ef4fdab1776e327c2c61b840a39b2a85fdf9,262,JHG30_c338bfb7a8d5,weak_train,-1,included_in_development_residue_labels
MD__2qjz_A,md_ired,2qjz_A,2qjz,A,4ef307544ecda30c676f285aa16fe5ffc8e375abda5f4de5ea78a9f1f57a86bc,123,JHG30_9948ddca1d7c,weak_train,-1,included_in_development_residue_labels
MD__2qnl_A,md_ired,2qnl_A,2qnl,A,b44381c8f42f8e80978deb9e1bee847bbd72999f4b9622dfbf172e6252e0ab99,162,JHG30_beb8fccb124b,weak_validation,-1,included_in_development_residue_labels
MD__2qq4_B,md_ired,2qq4_B,2qq4,B,9e96574472b2a8988ba97261a6bcd280eca9f3e81aa53334dd18c2f6f98c22df,138,JHG30_4d8cc0da1779,weak_train,-1,included_in_development_residue_labels
MD__2qqc_D,md_ired,2qqc_D,2qqc,D,98cfc11568c1c152d5770b044cfef18fa720ea81c28630fc8ea22cac3b9103d9,112,JHG30_57be4ee704ab,weak_train,-1,included_in_development_residue_labels
MD__2qsa_A,md_ired,2qsa_A,2qsa,A,5b5b98f6265edf9b20eaad004f30442b37465d2557c008b940e8d55333ea6b35,109,JHG30_ce2016d15ca2,weak_train,-1,included_in_development_residue_labels
MD__2qsk_A,md_ired,2qsk_A,2qsk,A,ef0e3bb89e4b84dd15a3ac0240869dc24509f81814bde38cb296c872e2712882,95,JHG30_e47b87bc8fd7,weak_train,-1,included_in_development_residue_labels
MD__2qt4_A,md_ired,2qt4_A,2qt4,A,ef0e3bb89e4b84dd15a3ac0240869dc24509f81814bde38cb296c872e2712882,95,JHG30_e47b87bc8fd7,weak_train,-1,included_in_development_residue_labels
MD__2qtd_A,md_ired,2qtd_A,2qtd,A,9564ee4a9a6f36e0d668d1f99611c8db14d3b7e6c3bd0173fb5f8f718a6c84a4,105,JHG30_3ac18637a4c3,weak_train,-1,included_in_development_residue_labels
MD__2qud_A,md_ired,2qud_A,2qud,A,8645e9c0ce41007b0287624c9909dd74709b40c749b33fdd4fecca7d188579de,125,JHG30_98095b30d928,weak_train,-1,included_in_development_residue_labels
MD__2qwo_B,md_ired,2qwo_B,2qwo,B,21f07d44c759d723604cbded160b805d65db2a9fd432534c68cfbe3b30b392e5,92,JHG30_d317fd739dc0,weak_train,-1,included_in_development_residue_labels
MD__2r2d_A,md_ired,2r2d_A,2r2d,A,9e8b14504331601a9030a9535b375997d17994893d93c28040285358d9a624f0,276,JHG30_828f178a6984,weak_train,-1,included_in_development_residue_labels
MD__2r31_A,md_ired,2r31_A,2r31,A,ed29d3b9f6445d1337e50e9a3bff550ee3f8b36c5675d9faaeb7f96f5265d3ae,239,JHG30_ffb75920d410,weak_train,-1,included_in_development_residue_labels
MD__2rbk_A,md_ired,2rbk_A,2rbk,A,d4768b439931cddf6c24ccd616f873e94d68b012f093235d3cebc2acebb8f6ee,261,JHG30_0246e3e510a3,weak_train,-1,included_in_development_residue_labels
MD__2rci_A,md_ired,2rci_A,2rci,A,e071c0718fbfde0e24b109b51841af412df99e5ebab1e4c979dd6a82f6271d90,204,JHG30_09632d222d7c,weak_train,-1,included_in_development_residue_labels
MD__2rff_A,md_ired,2rff_A,2rff,A,a8f9025b3787fdae357838ccb8466dd1b24e0062ddd1ed537297871f666db141,111,JHG30_6de582c7430b,weak_validation,-1,included_in_development_residue_labels
MD__2rji_A,md_ired,2rji_A,2rji,A,1f7dc28130548aa2f8144163453906f8b56be5ebb131630aca5697de12f2df38,84,JHG30_e38db785a082,weak_train,-1,included_in_development_residue_labels
MD__2rjw_A,md_ired,2rjw_A,2rjw,A,12a2783b246b1abb2e3473b6d7519eb4c88d293fe375d3af2dc1d0e8a9d1b2bb,67,JHG30_0ac132e2fe13,weak_validation,-1,included_in_development_residue_labels
MD__2rkq_A,md_ired,2rkq_A,2rkq,A,9cab37a84527856c9002e352b16f330afd7a2ada188f052a6d0067706cf1999e,169,JHG30_89e648d48b99,weak_train,-1,included_in_development_residue_labels
MD__2v0u_A,md_ired,2v0u_A,2v0u,A,4a6ddb6feb45d4f878f6452df1e11bed600d81f74096f5ab64ba8e92251302ef,146,JHG30_f9126f96eb3c,weak_train,-1,included_in_development_residue_labels
MD__2v27_A,md_ired,2v27_A,2v27,A,71578684f585e9f7e4504eae2702f5155d942415f28d188f9cffc171aa6e3a37,275,JHG30_f063a5b52604,weak_validation,-1,included_in_development_residue_labels
MD__2v4n_A,md_ired,2v4n_A,2v4n,A,0c502bc6cfd65c32799d33f8f6520f9acd5a703d67f83b777d00177c4f95638c,254,JHG30_542d5a5c2bce,weak_train,-1,included_in_development_residue_labels
MD__2v6a_O,md_ired,2v6a_O,2v6a,O,05762a86e26a856efba9948d05eeca694a0009f16b1b63c197b317be786881a1,140,JHG30_dc34032e0acc,weak_train,-1,included_in_development_residue_labels
MD__2v9m_A,md_ired,2v9m_A,2v9m,A,67312779aee8e9c8c84a75741360bef6c88b80d323b7867913cbc02fc798113a,274,JHG30_2f6c55815d73,weak_train,-1,included_in_development_residue_labels
MD__2vac_A,md_ired,2vac_A,2vac,A,2619388a582881d32ce988e2a1fdc357214fbde5072bef47d22372c2598179d1,134,JHG30_02c209712cfa,weak_validation,-1,included_in_development_residue_labels
MD__2vfk_A,md_ired,2vfk_A,2vfk,A,8e5bf72beca0da5823b3ee6c0dcb7763e853303f3a7f430392c2a02feb611c7d,205,JHG30_b21f17e26362,weak_train,-1,included_in_development_residue_labels
MD__2vfx_C,md_ired,2vfx_C,2vfx,C,a20910182970386e71e3293f1e00a19d0e712142993113fad61847bdbc11d364,206,JHG30_40939b5321f4,weak_train,-1,included_in_development_residue_labels
MD__2vg1_B,md_ired,2vg1_B,2vg1,B,bdff51926b55ef0abb078de02b9a3c715fc5a08099445ff37a0c6fc0ef617e18,228,JHG30_e551f0ad7b7b,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__2vh3_A,md_ired,2vh3_A,2vh3,A,7b49244b7b2adf3b1fe6c9be877b3a5347400689fa701e1b928ea1d4749aa660,113,JHG30_31ff43547a41,weak_train,-1,included_in_development_residue_labels
MD__2vh3_B,md_ired,2vh3_B,2vh3,B,42e139a58f542e0484a2dba4b2b7a14c3a6afc9b3219c77a3c1f963d4eb4f349,113,JHG30_31ff43547a41,weak_train,-1,included_in_development_residue_labels
MD__2vi1_A,md_ired,2vi1_A,2vi1,A,6bcad70ff1516c363ae23ab0f27390c3a4b12606b909f6d677beee43856c8034,207,JHG30_5904f44dbf24,weak_train,-1,included_in_development_residue_labels
MD__2vkp_B,md_ired,2vkp_B,2vkp,B,e9ffabb8dc9b7447d240895d047918de1f85dffe02ab26bda9e1a46d222a9ed1,109,JHG30_fcfe9137a73d,weak_train,-1,included_in_development_residue_labels
MD__2vm5_A,md_ired,2vm5_A,2vm5,A,b02f0f55bea6e5ee42a840c821126c8defab562cae044779a0e873fda277c7d4,106,JHG30_bd8f86e32d02,weak_train,-1,included_in_development_residue_labels
MD__2vri_A,md_ired,2vri_A,2vri,A,3967a4a862f263fceb2b123aca87c51c4d65531d3ba36203285b3b734fbb0638,174,JHG30_e2be4cbda1db,weak_train,-1,included_in_development_residue_labels
MD__2vy8_A,md_ired,2vy8_A,2vy8,A,356ee4de739f6d744e8a9b0a942de2e25f55940029a02d2d2be6f23284d126cd,157,JHG30_a255997c4f2e,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__2vzc_A,md_ired,2vzc_A,2vzc,A,bdcadebddb608d1b90d92f8b368bcf91b245a0f68c831fd047d0ce11e25a5516,131,JHG30_8aee5e3b3994,weak_train,-1,included_in_development_residue_labels
MD__2w0g_A,md_ired,2w0g_A,2w0g,A,60fd41b7901a80db6da9fc44473ed34656d4871aec48219500df5dbe28d8aeed,129,JHG30_84f7a08ff475,weak_train,-1,included_in_development_residue_labels
MD__2w0i_A,md_ired,2w0i_A,2w0i,A,a5ab8d8a6c39501810cc464cabb5f1543197bffde8b3358f1fff92d865f7abb9,135,JHG30_83f328d67466,weak_train,-1,included_in_development_residue_labels
MD__2w39_A,md_ired,2w39_A,2w39,A,77f9ae693f861ea029ba68730c90c69eab73d3a85f1271f17358bdd96d6364f6,298,JHG30_1cd610a53a64,weak_train,-1,included_in_development_residue_labels
MD__2w56_A,md_ired,2w56_A,2w56,A,690febc62ac3b6709a4dc29b545c8ad28af3c98a743204a89a0c3c65cfd2e587,147,JHG30_e5335918e180,weak_train,-1,included_in_development_residue_labels
MD__2w6k_A,md_ired,2w6k_A,2w6k,A,23d39cb39a2699182d56e004d9d1b235921898f6035abe9986ce5a12fcaa66c6,145,JHG30_fcc37423228c,weak_train,-1,included_in_development_residue_labels
MD__2w6l_A,md_ired,2w6l_A,2w6l,A,3bb5939c4fa2fe65d020a256bac5aba0206668cf27c3e55324020d969dffe6d1,142,JHG30_fcc37423228c,weak_train,-1,included_in_development_residue_labels
MD__2w86_A,md_ired,2w86_A,2w86,A,729ab9f0c7212f0f151275a4ddddc4be5db064e8699f140c1623563c82069e23,147,JHG30_68053139651e,weak_train,-1,included_in_development_residue_labels
MD__2w8x_A,md_ired,2w8x_A,2w8x,A,15f6e2878eadebec0c2faa123fe0b665d31e302886674dba4c6a6825ecb25e3f,72,JHG30_d4771831b3c6,weak_train,-1,included_in_development_residue_labels
MD__2w9y_A,md_ired,2w9y_A,2w9y,A,9fdaeca03744995c006f6f09c9ea761324e4bbe03c3e6e645b2663c3673d3ed7,140,JHG30_ef54d27f971d,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__2waw_A,md_ired,2waw_A,2waw,A,c1f172e85b8d5ea052fb3d1d7dbdfcbf2875e2672334dbe48ccc407728dc0582,199,JHG30_468da1c4fb8d,weak_validation,-1,included_in_development_residue_labels
MD__2wb6_A,md_ired,2wb6_A,2wb6,A,da7bd0a6cb055d023f1872b7243e805ca308be5a3603eb5606ebd290fdd7c554,130,JHG30_190271ae3eab,weak_train,-1,included_in_development_residue_labels
MD__2wbf_X,md_ired,2wbf_X,2wbf,X,a17b28e1bf310f118f7de17bb455bcb6ec4e8968321c307c85ae56bd64ac03cc,265,JHG30_f4971b79cbaa,weak_train,-1,included_in_development_residue_labels
MD__2wcu_A,md_ired,2wcu_A,2wcu,A,6cc83ffd9bf14c7926e257716052c903fd8b166caaf74eda7f46dc8915b44a42,149,JHG30_a688325eec51,weak_train,-1,included_in_development_residue_labels
MD__2wfr_A,md_ired,2wfr_A,2wfr,A,2d3ada4ac5cbb7f2429ee8a3b7f78946ca19e4130dddc63529cf1a68287bfa6b,165,JHG30_e6d1ca28b325,weak_validation,-1,included_in_development_residue_labels
MD__2wnp_F,md_ired,2wnp_F,2wnp,F,fac33fe63a05d985131ab3230c67d6878ba00107fbf0af5098c41153e8c88f7c,217,JHG30_52bfef8575b2,weak_train,-1,included_in_development_residue_labels
MD__2wny_B,md_ired,2wny_B,2wny,B,f5763dd0175283a90be33ee0d2ae63073c1830734df9ddd03bddb23217ef6e0e,141,JHG30_103b61d46ea0,weak_train,-1,included_in_development_residue_labels
MD__2wqi_D,md_ired,2wqi_D,2wqi,D,c3153314f40c31401ce2170051aa8a0b35800ad5b58938f0168c10ea62af9913,51,JHG30_4d639d487a79,weak_train,-1,included_in_development_residue_labels
MD__2wr8_A,md_ired,2wr8_A,2wr8,A,8bde280de6a255147cbbb727e0f92569187078511f3dc3d9f29f52bebc150dc3,259,JHG30_86e47e719bbf,protected_md_test_metadata_only,-1,protected_evaluation_metadata_only
MD__2wzo_A,md_ired,2wzo_A,2wzo,A,ec7c69e3e6eb9f9011bfba76091c8f358f1982bcf36a3fd3948652913c60a947,146,JHG30_f30847256dc2,weak_train,-1,included_in_development_residue_labels
MD__2x5g_A,md_ired,2x5g_A,2x5g,A,23c954af27cb6ee1d0038093f98759cb0217561aaf19a38a97a66035b2182226,96,JHG30_0e6912bc6cf0,weak_train,-1,included_in_development_residue_labels
MD__2x5h_B,md_ired,2x5h_B,2x5h,B,71e65dbd132913341dda9d47408e7f44e1b5278109f88308369813a01df068a0,97,JHG30_0e6912bc6cf0,weak_train,-1,included_in_development_residue_labels
MD__2x5r_A,md_ired,2x5r_A,2x5r,A,1790ff181cfd0a8034f72ff8e3418cc74525539130744eafa93ddeed774d3d99,127,JHG30_0248c9ef7684,weak_validation,-1,included_in_development_residue_labels
MD__2x63_A,md_ired,2x63_A,2x63,A,057be313e14776bf0360d3eac1fd6217d19d83d169d33060ccb95afe493822db,258,JHG30_f3ab75cc9dd2,weak_train,-1,included_in_development_residue_labels
MD__2x8w_A,md_ired,2x8w_A,2x8w,A,b4ccc69eefa4d47d32fd52d70601837f8318f98a7392836b7473c4babb1f87b3,132,JHG30_869311b2f0d5,weak_train,-1,included_in_development_residue_labels
